,,,,,,,,,,,,,,,,Globally Unique Sample ID,DUTTON_01-0001,DUTTON_01-0002,DUTTON_01-0003,DUTTON_01-0004,DUTTON_01-0005,DUTTON_01-0006,DUTTON_01-0007,DUTTON_01-0008,DUTTON_01-0009,DUTTON_01-0010,DUTTON_01-0011,DUTTON_01-0012,DUTTON_01-0013,DUTTON_01-0014,DUTTON_01-0015,DUTTON_01-0016,DUTTON_01-0017,DUTTON_01-0018,DUTTON_01-0019,DUTTON_01-0020,DUTTON_01-0021,DUTTON_01-0022,DUTTON_01-0023,DUTTON_01-0024,DUTTON_01-0025,DUTTON_01-0026,DUTTON_01-0027,DUTTON_01-0028,DUTTON_01-0029,DUTTON_01-0030,DUTTON_01-0031,DUTTON_01-0032,DUTTON_01-0033,DUTTON_01-0034,DUTTON_01-0035,DUTTON_01-0036,DUTTON_01-0037,DUTTON_01-0038,DUTTON_01-0039,DUTTON_01-0040,DUTTON_01-0041,DUTTON_01-0042,DUTTON_01-0043,DUTTON_01-0044,DUTTON_01-0045,DUTTON_01-0046,DUTTON_01-0047,DUTTON_01-0048,DUTTON_01-0049,DUTTON_01-0050,DUTTON_01-0051,DUTTON_01-0052,DUTTON_01-0053,DUTTON_01-0054,DUTTON_01-0055,DUTTON_01-0056,DUTTON_01-0057,DUTTON_01-0058,DUTTON_01-0059,DUTTON_01-0060,DUTTON_01-0061,DUTTON_01-0062,DUTTON_01-0063,DUTTON_01-0064,DUTTON_01-0065,DUTTON_01-0066,DUTTON_01-0067,DUTTON_01-0068,DUTTON_01-0069,DUTTON_01-0070,DUTTON_01-0071,DUTTON_01-0072,DUTTON_01-0073,DUTTON_01-0074,DUTTON_01-0075,DUTTON_01-0076,DUTTON_01-0077,DUTTON_01-0078,DUTTON_01-0079,DUTTON_01-0080,DUTTON_01-0081,DUTTON_01-0082,DUTTON_01-0083,DUTTON_01-0084,DUTTON_01-0085,DUTTON_01-0086,DUTTON_01-0087,DUTTON_01-0088,DUTTON_01-0089,DUTTON_01-0090,DUTTON_01-0091,DUTTON_01-0092,DUTTON_01-0093,DUTTON_01-0094,DUTTON_01-0095,DUTTON_01-0096,DUTTON_01-0097,DUTTON_01-0098,DUTTON_01-0099,DUTTON_01-0100,QC IRTS_1,QC IRTS_2,QC IRTS_3,QC IRTS_4
350,METx RP 2.1,C26H28O14,[M+H]+,positive,565.1552,246,PTF46589,Isovitexin 2''-O-arabinoside,ACRIYYKEWCXQOS-XAYOXWHSSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,2071,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,94357.28363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503047.005,,,,576713.3283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,METx RP 2.1,C20H26O4,[M+H]+,positive,331.1904,455,PTF46852,Dihydrogualaretic acid,ADFOLUXMYYCTRR-UHFFFAOYSA-N,Organic compounds,"Lignans, neolignans and related compounds",Dibenzylbutane lignans,,33,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5666.25194,,17772.00294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7405,METxH1.0,C6H11NO2,[M+H]+,positive,130.08611,0.75,,Beta-Homoproline,ADSALMJPJUKESW-UHFFFAOYSA-N,,,,,7,2,0.56,72504,89040,,,,,,,37524,,,,,,139284,129744,34980,,,139284,,76956,,158364,76956,99852,432480,421668,72504,159000,64236,89676,92220,41340,,55968,62328,45792,101760,106848,237228,61056,63600,83316,85860,62964,,,1007424,38160,,33708,,60420,65508,107484,,64872,315456,110028,44520,,96036,45792,,,,,45792,,,,,,95400,,,66780,38160,,,30528,,,150096,55332,100488,41976,188892,131652,,,,39432,,,,,107484,138648,,,,
505,METx RP 2.1,C19H18O11,[M+H]+,positive,423.0922,215,PTF42765,Mangiferin,AEDDIBAIWPIIBD-ZJKJAXBQSA-N,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,5306,2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1857159.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,METx RP 2.1,C18H39NO3,[M+H]+,positive,318.3003,385,PTF31608,Phytosphingosine,AERBNCYCJBRYDG-KSZLIROESA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,7429,2,0.535,,,,,,,,,,,,,,,33513.40408,20465.15338,,,,61647.64446,2510229.939,7417.290329,1168678.86,3011789.844,,4971962.282,1521426.215,12370.02735,3153588.087,3417692.031,3913691.053,3486491.839,,1599731.488,446047.6199,1994256.743,1424261.889,2602573.448,1607863.663,,,2161983.329,8614977.717,2015619.132,3429875.024,3912583.17,,190818.0681,2457891.728,,,,,355928.3952,1147336.813,673570.9308,160626.0589,1107884.596,4668279.746,14316829.7,,1481658.988,6175688.78,9409561.625,,,,3687223.442,,327320.5653,,469351.9698,830695.9103,,2464553.687,1084733.592,,2352599.872,27541.68704,,,,,,,3235961.33,1345592.031,1845853.877,14363256.53,3225710.581,,,,,,397235.9977,522709.2253,,4352302.167,629625.7464,,,,
7684,METxH1.0,C8H14N2O4,[M-H]-,negative,201.08811,2.09,,Pro-Ser,AFWBWPCXSWUCLB-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",27,2,0.89,552048,1029048,1000428,392412,248676,164088,152640,107484,134196,183168,37524,,42612,,358068,106212,111300,92856,475728,57240,207336,284928,131652,270300,454740,183804,746028,417216,155820,497988,259488,150732,193344,609924,339624,192708,246132,747936,185076,389232,463644,421032,141828,3149472,686880,2251440,,,359976,4027152,138648,370152,1057032,118932,120840,150096,57240,113208,,429936,,251220,,298920,,59148,55332,245496,149460,41340,104304,113844,,,80136,40704,283656,929832,1650420,127200,109392,304008,50880,82680,466824,522792,300192,1065936,1123812,342804,92856,,76320,87768,48972,220692,243588,125292,2860728,101124,,,,
7541,METxH1.0,C6H13NO2,[M-H]-,negative,130.08766,1.73,,Isoleucine,AGPKZVBTJJNPAG-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",124,2,0.97,2049828,4580472,5928792,136740,129108,127836,153276,630276,120840,90312,108756,64872,71868,54696,6480204,172992,8863296,5400912,5498856,1951248,2174484,1065300,837612,1239564,1088832,783552,3171732,6096060,2937048,3161556,557136,2302320,1913724,1839948,2215188,1444356,2135052,1710840,1004880,1759812,3255048,1723560,1921992,3163464,4991964,3224520,,,1640880,3576228,323724,3480192,2821932,573036,1930896,2590428,,300192,58512,904392,121476,3419136,232776,1547388,66780,139920,87132,1753452,849696,273480,324996,1086924,140556,131016,83952,135468,7728036,1909908,9331392,9258252,7297464,1348320,588300,297012,2370372,3071244,625824,1191228,3393696,4138452,100488,137376,148824,111936,220056,683064,719316,856692,6947028,162180,,,,
869,METx RP 2.1,C26H34O11,[M+Cl]-,negative,557.1795,241,PTF33603,NP-000520,AHYOMNWKYGMYMB-CIEFDVMPSA-N,Organic compounds,"Lignans, neolignans and related compounds",Lignan glycosides,,2567,2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898316.1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,METx RP 2.1,C11H8N2,[M+H]+,positive,169.076,198,PTF41550,Norharmane,AIFRHYZBTHREPW-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Pyridoindoles,434,2,0.335,114137.6432,,17823.31024,,74037.12059,157550.4917,,,,,58626.19213,,,,,,,,,,,65239.8955,39899.09488,86121.49068,,134982.8513,113860.5211,88393.39995,,29365.8439,26269.16914,86960.8126,228398.4452,79735.77257,51007.71733,233530.0163,,,383269.0141,,72300.97127,87321.80252,108707.7494,,,,,,165194.413,,,,,,,,,,,,,194828.9835,,283244.7295,,83476.01385,383934.0817,254519.3329,112514.0387,279918.2747,,,581466.1109,,,,,153343.1237,,,,,,,482548.1632,,55085.78357,,,53067.99448,,,,,,45993.7538,,,,,,,,
423,METx RP 2.1,C16H14O6,[M+H]+,positive,303.0863,360,PTF35071,Hesperetin,AIONOLUJZLIMTK-AWEZNQCLSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,869,2,0.02,,,,,,,,,,,,,,,,,,,,,,,,580091.2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28047.02267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
