Sample 	Run #	ID	LPS added	Pre-treatment	Sample Type	Main ingredient	Food type	replicate
FF0254	4M38F8	4M38F8_34	yes	water kefir	water kefir	sugar	water kefir	replicate_2
FF0206	53JTN4	53JTN4_14	yes	Wild West Ferments Chili paste	Wild West Ferments Chili paste	chile	fermented chili paste	replicate_1
FF0206	53JTN4	53JTN4_37	yes	Wild West Ferments Chili paste	Wild West Ferments Chili paste	chile	fermented chili paste	replicate_2
FF0143	Z6YWP9	Z6YWP9_6	yes	wild west ferments moroccan beets	wild west ferments moroccan beets	beet	pickled vegetable	replicate_1
FF0143	Z6YWP9	Z6YWP9_29	yes	wild west ferments moroccan beets	wild west ferments moroccan beets	beet	pickled vegetable	replicate_2
FF0205	53JTN4	53JTN4_13	yes	Wild West Ferments preserved lemon	Wild West Ferments preserved lemon	lemon	pickled fruit	replicate_1
FF0205	53JTN4	53JTN4_36	yes	Wild West Ferments preserved lemon	Wild West Ferments preserved lemon	lemon	pickled fruit	replicate_2
FF0146	4M38F8	4M38F8_18	yes	wild west ferments signature sauerkraut	wild west ferments signature sauerkraut	cabbage	sauerkraut	replicate_2
FF0146	4M38F8	4M38F8_41	yes	wild west ferments signature sauerkraut	wild west ferments signature sauerkraut	cabbage	sauerkraut	replicate_3
FF0146	DNWTWM	DNWTWM_8	yes	wild west ferments signature sauerkraut	wild west ferments signature sauerkraut	cabbage	sauerkraut	replicate_1
FF0145	DNWTWM	DNWTWM_7	yes	wild west ferments simply sauerkraut	wild west ferments simply sauerkraut	cabbage	sauerkraut	replicate_3
FF0145	M6PXYP	M6PXYP_6	yes	wild west ferments simply sauerkraut	wild west ferments simply sauerkraut	cabbage	sauerkraut	replicate_4
FF0145	Z6YWP9	Z6YWP9_8	yes	wild west ferments simply sauerkraut	wild west ferments simply sauerkraut	cabbage	sauerkraut	replicate_1
FF0145	Z6YWP9	Z6YWP9_31	yes	wild west ferments simply sauerkraut	wild west ferments simply sauerkraut	cabbage	sauerkraut	replicate_2
FF0204	53JTN4	53JTN4_12	yes	Wild West Ferments spicy Italian pickle	Wild West Ferments spicy Italian pickle	cucumber	dill pickle	replicate_1
FF0204	53JTN4	53JTN4_35	yes	Wild West Ferments spicy Italian pickle	Wild West Ferments spicy Italian pickle	cucumber	dill pickle	replicate_2
