Date,BioRep,Plate,Row,Column,Dilution_factor,Sample_number,Substrate,Pre-treatment,Insult,Sample_type,raw_SEAP,raw_ IFN,raw_viability,normalized_SEAP,normalized_IFN,normalized_viability
20251114,1,BP010,D,9,10,FF0154,Cucumber,"sonoma brinery fresh pickles, manahhaton style",LPS+,sample,1.029,15225,1.810,125.690,49.076,105.894
20251114,1,BP010,D,10,10,FF0155,Cucumber,bubbie's baby kosher dill pickles,LPS+,sample,0.972,17537,1.704,118.417,56.984,97.648
20251114,1,BP010,D,11,10,positive_control,Control,PBS,LPS+,positive control,0.793,28118,1.652,95.639,93.176,93.649
20251114,1,BP010,D,12,10,positive_control,Control,PBS,LPS+,positive control,0.831,27116,1.915,100.422,89.749,114.031
20251114,1,BP010,E,1,10,FF0156,Cucumber,cultured classic dills,LPS+,sample,1.201,29770,1.729,147.520,98.827,99.624
20251114,1,BP010,E,2,10,FF0157,Napa cabbage,sinto gourmet kimchi (mild white),LPS+,sample,1.207,19799,1.952,148.225,64.721,116.868
20251114,1,BP010,E,3,10,FF0158,Napa cabbage,jongga mat kimchi,LPS+,sample,1.107,22421,1.924,135.502,73.690,114.705
20251114,1,BP010,E,4,10,FF0159,Napa cabbage,"mother in law's kimchi, vegan",LPS+,sample,1.285,8841,2.207,158.174,27.239,136.668
20251114,1,BP010,E,5,10,FF0160,Napa cabbage,"mother in laow's kimchi, house",LPS+,sample,1.235,11042,2.079,151.858,34.768,126.780
20251114,1,BP010,E,6,10,FF0161,Napa cabbage,queens beachu kimchi,LPS+,sample,1.172,25895,2.127,143.786,85.572,130.492
20251114,1,BP010,E,7,10,FF0162,Napa cabbage,cultured napa cabbage kimchi,LPS+,sample,1.189,17296,1.700,145.968,56.159,97.392
20251114,1,BP010,E,8,10,FF0166,Soy,soy milk,LPS+,sample,0.876,10382,1.568,106.108,32.510,87.155
20251114,1,BP010,E,9,10,FF0031,Cabbage,Sauerkraut,LPS+,sample,1.036,6721,2.179,126.463,19.988,134.460
20251114,1,BP010,E,10,10,FF0032,Napa cabbage,Cleveland Kimchi,LPS+,sample,1.003,9492,2.091,122.382,29.466,127.671
20251114,1,BP010,E,11,10,negative_control,Control,PBS,LPS-,negative control,0.042,940,1.250,0.044,0.214,62.487
20251114,1,BP010,E,12,10,negative_control,Control,PBS,LPS-,negative control,0.042,960,1.251,0.044,0.282,62.595
20251114,1,BP010,F,1,10,FF0156,Cucumber,cultured classic dills,LPS+,sample,1.295,29780,1.661,159.422,98.861,94.385
20251114,1,BP010,F,2,10,FF0157,Napa cabbage,sinto gourmet kimchi (mild white),LPS+,sample,1.174,24163,1.862,144.085,79.648,109.924
20251114,1,BP010,F,3,10,FF0158,Napa cabbage,jongga mat kimchi,LPS+,sample,1.072,13664,2.186,131.079,43.736,135.056
20251114,1,BP010,F,4,10,FF0159,Napa cabbage,"mother in law's kimchi, vegan",LPS+,sample,1.241,9412,2.235,152.567,29.192,138.838
20251114,1,BP010,F,5,10,FF0160,Napa cabbage,"mother in laow's kimchi, house",LPS+,sample,1.263,12943,2.025,155.405,41.270,122.571
20251114,1,BP010,F,6,10,FF0161,Napa cabbage,queens beachu kimchi,LPS+,sample,1.182,27787,2.138,145.149,92.044,131.344
