Sample Number	Sample	Substrate category	Food type	sample state	Source sample ID	Metabolomics	Metagenomics	NFkB_bioassay runs	RNAseq runs	ingredients	producer	producer_country	main ingredient	dominant_fermentation_chemistry	Sample notes	all_ingredients	main_ingredient_organic_status	producer	dominant_fermentation_chemistry	foodon_high	foodon_mid	foodon_specific	foodon_parent_label	foodon_grandparent_label	foodon_lineage	foodon_specific_canonical_id
FF0157	Sinto Gourmet Kimchi (Mild White)	Vegetable - Cabbage	Kimchi	ready to eat	FF0157	yes	yes	1	1	napa cabbage, organic apple juice, carrot, yellow oniopn, radish, sea salt, garlic, ginger, kelp powder	Sinto Gourmet	US	cabbage	lactic acid		napa cabbage, organic apple juice, carrot, yellow oniopn, radish, sea salt, garlic, ginger, kelp powder	organic	Sinto Gourmet	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0158	Jongga Mat Kimchi	Vegetable - Cabbage	Kimchi	ready to eat	FF0158	yes	yes	1	1	Cabbage, Radish, Rice Paste(Rice Powder, Water), Salt, Red Pepper Powder, Garlic, Kelp Base Sauce (Kelp extract, Sorbitol (E412)), Chives, Leek, High fructose corn syrup, Fermented Anchovy Sauce (Anchovy, Salt),  Onion, Fermented Shrimp Sauce (Crustaceans, Salt), Lactic acid bacteria, Ginger  	Jongga	Korea	cabbage	lactic acid		Cabbage, Radish, Rice Paste(Rice Powder, Water), Salt, Red Pepper Powder, Garlic, Kelp Base Sauce (Kelp extract, Sorbitol (E412)), Chives, Leek, High fructose corn syrup, Fermented Anchovy Sauce (Anchovy, Salt),  Onion, Fermented Shrimp Sauce (Crustaceans, Salt), Lactic acid bacteria, Ginger  	not_organic	Jongga	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0159	Mother In Law's Kimchi, Vegan	Vegetable - Cabbage	Kimchi	ready to eat	FF0159	yes	yes	1	0	napa cabbage, yellow onion, green onion, red chile pepper flakes, salt, fresh peeled garlic, fresh ginger, organic sugar	Mother-in-Law’s	US	cabbage	lactic acid		napa cabbage, yellow onion, green onion, red chile pepper flakes, salt, fresh peeled garlic, fresh ginger, organic sugar	organic	Mother-in-Law’s	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0160	Mother In Laow's Kimchi, House	Vegetable - Cabbage	Kimchi	ready to eat	FF0160	yes	yes	1	1	Napa cabbage, yellow, onion, green onion, red chile pepper flakes, less than 2% of: salt, fresh peeled garlic, fresh ginger, organic sugar, fish sauce (anchovies, salt), salted shrimp, beef bone broth	Mother-in-Law’s	US	cabbage	lactic acid		Napa cabbage, yellow, onion, green onion, red chile pepper flakes, less than 2% of: salt, fresh peeled garlic, fresh ginger, organic sugar, fish sauce (anchovies, salt), salted shrimp, beef bone broth	organic	Mother-in-Law’s	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0161	Queens Beachu Kimchi	Vegetable - Cabbage	Kimchi	ready to eat	FF0161	yes	yes	1	0	Napa Cabbage, Organic Korean Mu Radish, Organic Scallion, Fresno Pepper, Gochugaru, Organic Asian Pear, Organic Fuji Apple, Organic Yellow Onion, Anchovy Broth (Dried Anchovy, Dried Dipori, Dried Dashima, Dried Shrimp, Dried Shiitake, Organic Leek, Organic Yellow Onion, Korean Mu Radish, Organic Scallion), Fermented Anchovy, Fermented Sandlance Fish, Salted Shrimp, Ume Plum Syrup, Organic Garlic, Ginger, Dried Hawk's Claw Chili, Salt, Sweet Rice Flour.	Queens	US	cabbage	lactic acid		Napa Cabbage, Organic Korean Mu Radish, Organic Scallion, Fresno Pepper, Gochugaru, Organic Asian Pear, Organic Fuji Apple, Organic Yellow Onion, Anchovy Broth (Dried Anchovy, Dried Dipori, Dried Dashima, Dried Shrimp, Dried Shiitake, Organic Leek, Organic Yellow Onion, Korean Mu Radish, Organic Scallion), Fermented Anchovy, Fermented Sandlance Fish, Salted Shrimp, Ume Plum Syrup, Organic Garlic, Ginger, Dried Hawk's Claw Chili, Salt, Sweet Rice Flour.	organic	Queens	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0162	Cultured Napa Cabbage Kimchi	Vegetable - Cabbage	Kimchi	ready to eat	FF0162	yes	yes	1	2	Organic napa cabbage, organic carrots, organic green onion, organic apple, organic assorted chilis, organic rice flour, organic ginger, organic garlic, konbu, sea salt	Cultured Pickle	US	cabbage	lactic acid		Organic napa cabbage, organic carrots, organic green onion, organic apple, organic assorted chilis, organic rice flour, organic ginger, organic garlic, konbu, sea salt	organic	Cultured Pickle	lactic acid	plant-based food product	fermented vegetable product	kimchi	fermented vegetable food product	food (fermented)	kimchi > fermented vegetable food product > food (fermented) > plant food product	FOODON:00002946
FF0163	Cultured Sweet White Miso	Legume - Soy	Miso	ready to eat	FF0163	yes	yes	1	0	organic soybeans, organic rice, salt, koji	Cultured Pickle	US	soybean	mixed koji/lactic acid		organic soybeans, organic rice, salt, koji	organic	Cultured Pickle	mixed koji/lactic acid	plant-based food product	fermented legume product	miso	miso food product	fermented soybean food product	miso > miso food product > fermented soybean food product > plant food product	FOODON:00003208
FF0164	Aedan Japanese Fermented Country Miso	Legume - Soy	Miso	ready to eat	FF0164	yes	yes	1	0	Rice Koji, Barley Koji, Soybeans, Salt	Aedan	US	soybean	mixed koji/lactic acid		organic Soybeans, Organic Rice Koji, organic Barley Koji, Salt	organic	Aedan	mixed koji/lactic acid	plant-based food product	fermented legume product	miso	miso food product	fermented soybean food product	miso > miso food product > fermented soybean food product > plant food product	FOODON:00003208
FF0165	Yabajurushi Tsubu Jikomi Miso	Legume - Soy	Miso	ready to eat	FF0165	yes	yes	1	0	Filtered Water, Organic Whole Soy Beans, Rice, Sea Salt, Potassium Sorbate as a Preservative and Koji Starter	Yabajurushi	US	soybean	mixed koji/lactic acid		Organic Whole Soy Beans, Rice, Sea Salt, Potassium Sorbate as a Preservative and Koji Starter	organic	Yamajurushi	mixed koji/lactic acid	plant-based food product	fermented legume product	miso	miso food product	fermented soybean food product	miso > miso food product > fermented soybean food product > plant food product	FOODON:00003208
FF0169	Raw Cucumber	Vegetable - Cucumber	Unfermented	raw	FF0169	no	no	1	1	cucumber	Berkeley Bowl	US	cucumber	NA		cucumber	organic	NA	NA							
FF0170	Raw Cabbage 	Vegetable - Cabbage	Unfermented	raw	FF0170	no	no	1	1	cabbage	Berkeley Bowl	US	cabbage	NA		cabbage	organic	NA	NA							
FF0171	Raw Napa Cabbage	Vegetable - Cabbage	Unfermented	raw	FF0171	no	no	1	1	napa cabbage	Berkeley Bowl	US	cabbage	NA		napa cabbage	organic	NA	NA							
FF0172	Rejuvelac	Grain	Rejuvelac	ready to eat	FF0172	no	yes	2	2	rye berries, water	Lev’s	US	rye berries	mixed lactic acid/acetic acid		rye berries, water	not_organic	Lev’s	mixed lactic acid/acetic acid	plant-based food product	fermented grain beverage	rejuvelac	plant derived fermented beverage	fermented beverage	rejuvelac > plant derived fermented beverage > fermented beverage > plant food product	unknown
FF0173	GT's Kombucha	Sugar	Kombucha	ready to eat	FF0173	no	yes	2	2	organic Kombucha culture, organic black tea, organic green tea, organic kiwi juice, and cane sugar	GT's kombucha	US	sugar	acetic acid		organic Kombucha culture, organic black tea, organic green tea, organic kiwi juice, and cane sugar	organic	GT's kombucha	acetic acid	plant-based food product	fermented tea beverage	kombucha	tea beverage (liquid)	tea based beverage product	kombucha tea > tea beverage (liquid) > tea based beverage product > plant food product	FOODON:03311874
FF0174	Wildbrine Probiotic Sriracha	Vegetable - other	Fermented chili paste	ready to eat	FF0174	no 	yes	2	2	Napa Cabbage, Fresno Pepper, Water, Garlic, Green Onion, Sea Salt, Sea Vegetables, Korean Red Pepper, Ginger	Wildbrine	US	chili	lactic acid		Napa Cabbage, Fresno Pepper, Water, Garlic, Green Onion, Sea Salt, Sea Vegetables, Korean Red Pepper, Ginger	not_organic	Wildbrine	lactic acid	plant-based food product	fermented condiment	fermented chili paste	hot pepper food product	pepper vegetable food product	chili paste > hot pepper food product > pepper vegetable food product > plant food product	FOODON:03315435
FF0175	Huy Fong Sriracha Chili Sauce	Vegetable - other	Fermented chili paste	ready to eat	FF0175	no	yes	2	2	Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate and Sodium Bisulfite as Preservatives, Xanthan Gum	Huy Fong	US	chili	lactic acid		Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate and Sodium Bisulfite as Preservatives, Xanthan Gum	not_organic	Huy Fong	lactic acid	plant-based food product	fermented condiment	fermented chili paste	hot pepper food product	pepper vegetable food product	chili paste > hot pepper food product > pepper vegetable food product > plant food product	FOODON:03315435
FF0176	Mani Pitted Castelvetrano Olives	Vegetable - other	Olives	ready to eat	FF0176	yes	yes	2	2	castelvetrano olives, salt	Mani Bläuel	Greece	olive	lactic acid		castelvetrano olives, salt	not_organic	Mani Bläuel	lactic acid	plant-based food product	fermented plant product	fermented olives	unknown	unknown	fermented olives > plant food product	unknown
FF0177	Berkeley Bowl Kalamata Olives Pitted	Vegetable - other	Olives	ready to eat	FF0177	yes	yes	2	2	kalamata olives, salt	Berkeley Bowl	Greece	olive	lactic acid		kalamata olives, salt	not_organic	Berkeley Bowl	lactic acid	plant-based food product	fermented plant product	fermented olives	unknown	unknown	fermented olives > plant food product	unknown
FF0178	Golden State Pickle Works Cabbage W/ Caraway	Vegetable - Cabbage	Sauerkrat	ready to eat	FF0178	yes	yes	2	2	organic cabbage, organic caraway, salt	Golden State Pickle Works	US	cabbage	lactic acid		organic cabbage, organic caraway, salt	organic	Golden State Pickle Works	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0179	Dragonfly Preserved Bean Curd In Chili Oil	Legume - Soy	Tofu	ready to eat	FF0179	yes	yes	2	2	BEAN CURD, SESAME OIL, CHILI OIL, SALT, SUGAR	Dragonfly	Taiwan	soybean	mixed lactic acid/other		BEAN CURD, SESAME OIL, CHILI OIL, SALT, SUGAR	not_organic	Dragonfly	mixed lactic acid/other	plant-based food product	fermented legume product	fermented tofu	fermented bean product	bean food product	fermented tofu > fermented bean product > bean food product > plant food product	unknown
FF0180	Ny Natto Black	Legume - Soy	Natto	ready to eat	FF0180	no	yes	2	2	black soybeans, bacillus subtilis culture	New York Natto	US	soybean	alkaline		organic black soybeans, bacillus subtilis culture	organic	New York Natto	alkaline	plant-based food product	fermented legume product	natto	fermented soybean food product	fermented bean product	nattō > fermented soybean food product > fermented bean product > plant food product	FOODON:00002870
FF0181	Lightlife Organic Tempeh Original	Legume - Soy	Tempeh	ready to eat	FF0181	yes	failed	2	2	soybeans, tempeh culture	Lightlife	US	soybean	alkaline		CULTURED ORGANIC SOYBEANS (SOYBEANS, LACTIC ACID FROM PLANT SOURCES), WATER, ORGANIC BROWN RICE.	organic	Lightlife	alkaline							
FF0183	Fra'Mani Salametto Salame	Meat	Salami	ready to eat	FF0183	yes	yes	2	2	Pork, sea salt, and contains 2% or less of wine, celery powder, dextrose, garlic, pepper, lactic acid starter culture	Fra’ Mani	US	pork	lactic acid		Pork, sea salt, and contains 2% or less of wine, celery powder, dextrose, garlic, pepper, lactic acid starter culture	not_organic	Fra’ Mani	lactic acid	animal-based food product	fermented meat product	salami	luncheon meat	animal product sausage	salami > luncheon meat > animal product sausage > animal food product	FOODON:03312067
FF0184	Journeyman Meat Co Saucisson Sec Salame	Meat	Salami	ready to eat	FF0184	yes	yes	2	2	pork, garlic, white wine, salt, spices, cultures	Journeyman Meat Co.	US	pork	lactic acid		pork, garlic, white wine, salt, spices, cultures	not_organic	Journeyman Meat Co.	lactic acid	animal-based food product	fermented meat product	salami	luncheon meat	animal product sausage	salami > luncheon meat > animal product sausage > animal food product	FOODON:03312067
FF0187	Equal Exchange 92% Cacao Total Eclipse Chocolate	Fruit	Chocolate	ready to eat	FF0187	yes	no 	2	2	Organic Chocolate Liquor, Organic Cocoa Butter, Organic Raw Cane Sugar, Organic Ground Vanilla Beans	Equal Exchange	Togo	cacao	mixed				Equal Exchange	mixed							
FF0188	Taza 95% Dark Chocolate Wicked Dark Chocolate	Fruit	Chocolate	ready to eat	FF0188	yes	no	2	2	Organic Cacao Beans, Organic Cane Sugar	Taza	Haiti	cacao	mixed				Taza	mixed							
FF0190	Alter Eco Total Blackout 100% Cacao Chocolate	Fruit	Chocolate	ready to eat	FF0190	yes	no	2	2	organic cacao beans, organic cacao butter	Alter Eco	Ecuador/Dominican Republic	cacao	mixed				Alter Eco	mixed							
FF0191	The Tao Of Tea Organic Topaz Puer	Vegetable - other	Tea	ready to eat	FF0191	yes	yes	2	2	Organic Puer Tea Leaves	The Tao of Tea	China	tea	mixed/other		Organic Puer Tea Leaves	organic	The Tao of Tea	mixed/other	plant-based food product	fermented tea product	post-fermented tea	tea based beverage product	nonfermented plant derived beverage product	post-fermented tea > tea based beverage product > nonfermented plant derived beverage product > plant food product	unknown
FF0192	Braggs Apple Cider Vinegar	Fruit	Vinegar	ready to eat	FF0192	no	yes	2	2	organic apple cider vinegar	Braggs	US	apple	acetic acid		organic apple cider vinegar	organic	Braggs	acetic acid	plant-based food product	fermented condiment	vinegar	vinegar food product	condiment	vinegar > vinegar food product > condiment > plant food product	FOODON:03301705
FF0198	Cafe Colucci Injera Batter	Grain	Injera	raw	FF0198	no	yes	2	2	teff	Cafe Colucci	US	teff	mixed lactic acid/acetic acid	(microbial sample from FF0199)	teff	not_organic	Cafe Colucci	mixed lactic acid/acetic acid	plant-based food product	fermented grain product	injera	plant derived fermented beverage	fermented beverage	injera > plant derived fermented beverage > fermented beverage > plant food product	unknown
FF0199	Cafe Colucci Injera Cooked	Grain	Injera	cooked	FF0198	yes	no	2	2	teff	Cafe Colucci	US	teff	mixed lactic acid/acetic acid		teff			mixed lactic acid/acetic acid							
FF0200	Wise Goat Honey Fermented Garlic	Vegetable - other	Pickled vegetable	ready to eat	FF0200	no	yes	2	2	organic honey, organic garlic	Wise Goat	US	garlic	lactic acid		organic honey, organic garlic	organic	Wise Goat	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented vegetable	food (fermented)	food material by process	lactic acid fermented vegetable > food (fermented) > food material by process > plant food product	unknown
FF0201	Cultured Pickle Indian Pickled Limes	Fruit	Pickled fruit	ready to eat	FF0201	yes	failed	2	2	limes, salt, spices	Cultured Pickle	US	lime	lactic acid					lactic acid							
FF0202	Cultured Pickle Chile Paste	Vegetable - other	Chili paste	ready to eat	FF0202	yes	yes	2	2	chiles, salt	Cultured Pickle	US	chile	lactic acid		chiles, salt	organic	Cultured Pickle	lactic acid	plant-based food product	fermented condiment	fermented chili paste	hot pepper food product	pepper vegetable food product	chili paste > hot pepper food product > pepper vegetable food product > plant food product	FOODON:03315435
FF0203	Cultured Pickle Umeboshi	Fruit	Pickled fruit	ready to eat	FF0203	yes	failed	2	2	plums, salt, shiso	Cultured Pickle	US	plum	lactic acid					lactic acid							
FF0204	Wild West Ferments Spicy Italian Pickle	Vegetable - Cucumber	Dill pickle	ready to eat	FF0204	yes	yes	2	2	organic cucumbers, unrefined sea salt, organic fennel, organic celery seed, organic chili flakes, calcium chloride	Wild West Ferments	US	cucumber	lactic acid		organic cucumbers, unrefined sea salt, organic fennel, organic celery seed, organic chili flakes, calcium chloride	organic	Wild West Ferments	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented cucumber	food (fermented)	food material by process	lactic acid fermented cucumber > food (fermented) > food material by process > plant food product	unknown
FF0205	Wild West Ferments Preserved Lemon	Fruit	Pickled fruit	ready to eat	FF0205	yes	failed	2	2	lemons, salt	Wild West Ferments	US	lemon	lactic acid					lactic acid							
FF0206	Wild West Ferments Chili Paste	Vegetable - other	Chili paste	ready to eat	FF0206	yes	yes	2	2	Organic chilis, organic beets, unrefined sea salt	Wild West Ferments	US	chile	lactic acid		Organic chilis, organic beets, unrefined sea salt	organic	Wild West Ferments	lactic acid	plant-based food product	fermented condiment	fermented chili paste	hot pepper food product	pepper vegetable food product	chili paste > hot pepper food product > pepper vegetable food product > plant food product	FOODON:03315435
FF0209	Taro Brand Sour Poi	Vegetable - other	Poi	ready to eat	FF0209	yes	yes	2	2	taro	Taro Brand	US	taro	lactic acid		taro	not_organic	Taro Brand	lactic acid	plant-based food product	fermented root product	poi	taro food product	plant root vegetable food product	poi > taro food product > plant root vegetable food product > plant food product	FOODON:03307023
FF0210	Cultured Spicy Okra	Vegetable - other	Pickled vegetable	ready to eat	FF0210	no	yes	2	2	okra, chili, salt	Cultured Pickle	US	okra	lactic acid		okra, chili, salt	organic	Cultured Pickle	lactic acid	plant-based food product	fermented fruit product	lactic acid fermented fruit	food (fermented)	food material by process	lactic acid fermented fruit > food (fermented) > food material by process > plant food product	unknown
FF0211	Kopabana Cassava Fufu	Grain	Fufu	dehydrated	FF0211	yes	yes	2	2	cassava	Kopabana	Cameroon	cassava	mixed lactic acid/acetic acid		cassava	not_organic	Kopabana	mixed lactic acid/acetic acid	plant-based food product	fermented root product	fufu	unknown	unknown	fufu > plant food product	unknown
FF0212	Kopabana Cassava Couscous / Attieke	Grain	Attieke	dehydrated	FF0212	yes	failed	2	2	cassava	Kopabana	Ivory Coast	cassava	mixed lactic acid/acetic acid				Kopabana	mixed lactic acid/acetic acid							
FF0213	Wala Ga Kenkey	Grain	Kenkey	ready to eat	FF0213	yes	failed	2	2	corn	Wala Ga	Ghana	corn	mixed lactic acid/acetic acid				Wala go	mixed lactic acid/acetic acid							
FF0216	Barrio Fiesta Bagoong Hipon	Meat	Shrimp	ready to eat	FF0216	yes	failed	2	2	shrimp, garlic,onion, corn oil,salt,sugar, vinegar,chili, monosodium glutamate(as flavor enhancer), citric acid	Barrio Fiesta	Phillipines	shrimp	mixed/unknown				Barrio Fiesta	mixed/unknown							
FF0218	Burlap & Barrel White Peppercorns	Fruit	Peppercorn	ready to eat	FF0218	yes	yes	2	2	white pepper	Burlap & Barrel	Indonesia	pepper	mixed/unknown		white pepper	not_organic	Burlap & Barrel	mixed/unknown	plant-based food product	spice product	peppercorn	black or white pepper product	peppercorn food product	peppercorn > black or white pepper product > peppercorn food product > plant food product	FOODON:03310070
FF0219	Burlap & Barrel Iru	Legume - other	Iru	ready to eat	FF0219	yes	yes	2	2	locust beans	Burlap & Barrel	Nigeria	locust bean	alkaline		locust beans	not_organic	Burlap & Barrel	alkaline	plant-based food product	fermented legume product	iru	fermented bean product	bean food product	iru > fermented bean product > bean food product > plant food product	unknown
FF0220	Elizabeth Sourdough	Grain	Sourdough	raw, cooked	FF0220	yes	yes	2	2	wheat flour	Elizabeth’s	US	wheat	mixed lactic/ethanolic		wheat flour	not_organic	Elizabeth’s	mixed lactic/ethanolic	plant-based food product	fermented grain product	sourdough bread	bread loaf containing wheat	wheat bread food product	sourdough bread > bread loaf containing wheat > wheat bread food product > plant food product	FOODON:03302481
FF0221	Shastha Foods Idli/Idli Batter	Grain	Idli	raw, cooked	FF0221	yes	yes	2	2	Idly rice, parboiled rice, urad dal, salt	Shastha Foods	US	rice	mixed lactic/ethanolic		Idly rice, parboiled rice, urad dal, salt	not_organic	Shastha Foods	mixed lactic/ethanolic	plant-based food product	fermented grain batter	idli	unknown	unknown	idli > plant food product	unknown
FF0222	Grandios Yellow Pap/Ogi	Grain	Ogi	dehydrated	FF0222	yes	yes	2	2	corn	Grandios	Nigeria	corn	mixed lactic/ethanolic		corn	not_organic	Grandios	mixed lactic/ethanolic	plant-based food product	fermented grain product	ogi	cereal grain food product	plant seed food product	ogi > cereal grain food product > plant seed food product > plant food product	FOODON:03310291
FF0223	Chantle Sourdough	Grain	Sourdough	raw, cooked	FF0223	yes	yes	2	2	wheat flour	Chantle	US	wheat	mixed lactic/ethanolic		wheat flour	not_organic	Chantle	mixed lactic/ethanolic	plant-based food product	fermented grain product	sourdough bread	bread loaf containing wheat	wheat bread food product	sourdough bread > bread loaf containing wheat > wheat bread food product > plant food product	FOODON:03302481
FF0224	Cj Doenjang	Legume - Soy	Doenjang	ready to eat	FF0224	yes	yes	2	2	WATER, SOYBEAN, WHEAT FLOUR, SALT, FERMENTED SOYBEAN POWDER, COOKING RICE WINE, WHEAT, SOYBEAN POWDER, MALT, DISODIUM INOSINATE, DISODIUM GUANYLATE	CJ CheilJedang	South Korea	soybean	mixed koji/other		SOYBEAN, WHEAT FLOUR, SALT, FERMENTED SOYBEAN POWDER, COOKING RICE WINE, WHEAT, SOYBEAN POWDER, MALT, DISODIUM INOSINATE, DISODIUM GUANYLATE	not_organic	CJ CheilJedang	mixed koji/other	plant-based food product	fermented legume product	doenjang	fermented bean product	bean food product	doenjang > fermented bean product > bean food product > plant food product	unknown
FF0225	Rachel Sourdough	Grain	Sourdough	raw, cooked	FF0225	yes	no	2	2	wheat flour	Rachel	US	wheat	mixed lactic acid/acetic acid				Rachel	mixed lactic acid/acetic acid							
FF0227	Mango Pickle	Fruit	Pickled fruit	ready to eat	FF0227	yes	failed	2	2	mango, salt, sesame oil, mustard, turmeric, fenugreek, ground chili, compounded asafoetida, acetic acid, citric acid	Bedekar	India	mango	lactic acid				Bedekar	lactic acid							
FF0228	Bayley Hazen Blue Cheese	Dairy	Cheese	ready to eat	FF0228	yes	yes	2	2	cow’s milk, salt, cultures, rennet	Jasper Hill Farm	US	milk	lactic acid		cow’s milk, salt, cultures, rennet	not_organic	Jasper Hill Farm	lactic acid	animal-based food product	fermented milk product	kefir	kefir food product	cultured dairy product	kefir > kefir food product > cultured dairy product > animal food product	FOODON:03310290
FF0229	Cabot Clothbound Cheese	Dairy	Cheese	ready to eat	FF0229	yes	yes	2	2	cow’s milk, salt, cultures, rennet	Jasper Hill Farm	US	milk	lactic acid		cow’s milk, salt, cultures, rennet	not_organic	Jasper Hill Farm	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0230	Alpha Tolman Cheese	Dairy	Cheese	ready to eat	FF0230	yes	yes	2	2	cow’s milk, salt, cultures, rennet	Jasper Hill Farm	US	milk	lactic acid		cow’s milk, salt, cultures, rennet	not_organic	Jasper Hill Farm	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0231	Moses Sleeper Cheese	Dairy	Cheese	ready to eat	FF0231	yes	yes	2	2	cow’s milk, salt, cultures, rennet	Jasper Hill Farm	US	milk	lactic acid		cow’s milk, salt, cultures, rennet	not_organic	Jasper Hill Farm	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0232	Harbison Cheese	Dairy	Cheese	ready to eat	FF0232	yes	yes	2	2	cow’s milk, salt, cultures, rennet	Jasper Hill Farm	US	milk	lactic acid		cow’s milk, salt, cultures, rennet	not_organic	Jasper Hill Farm	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0233	Winnimere Cheese	Dairy	Cheese	ready to eat	FF0233	yes	yes	2	2	cow’s milk, salt, cultures, rennet	Jasper Hill Farm	US	milk	lactic acid		cow’s milk, salt, cultures, rennet	not_organic	Jasper Hill Farm	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0234	Gochujang	Vegetable - other	Chili paste	ready to eat	FF0234	yes	yes	2	2	Premium Gochujang (Sweet Rice Powder, Salt, Fermented Soybean Flour, Malt Syrup, Chile Pepper Flakes), Toasted Sesame Oil, Unrefined Sugar, Water, Sesame Seeds, Ginger Puree, Garlic Puree, Soy Sauce (Water, Wheat, Soybeans, Salt).	Mother-in-Law’s	US	chile	lactic acid		Premium Gochujang (Sweet Rice Powder, Salt, Fermented Soybean Flour, Malt Syrup, Chile Pepper Flakes), Toasted Sesame Oil, Unrefined Sugar, Water, Sesame Seeds, Ginger Puree, Garlic Puree, Soy Sauce (Water, Wheat, Soybeans, Salt).	not_organic	Mother-in-Law’s	lactic acid	plant-based food product	fermented condiment	fermented chili paste	hot pepper food product	pepper vegetable food product	chili paste > hot pepper food product > pepper vegetable food product > plant food product	FOODON:03315435
FF0235	Turmeric, Ginger, Jalepeno Sauerkraut	Vegetable - Cabbage	Sauerkraut	ready to eat	FF0235	no	yes	2	2	Organic Cabbage, Organic Turmeric, Organic Jalapeño, Sea Salt, Organic Ginger,	Local Culture	US	cabbage	lactic acid		Organic Cabbage, Organic Turmeric, Organic Jalapeño, Sea Salt, Organic Ginger,	organic	Local Culture	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0236	Morel Mushroom Miso	Legume - other	Miso	ready to eat	FF0236	yes	yes	2	2	Rancho Gordo chickpeas, organic kokuho rose rice, wild foraged morel mushrooms, sea salt, water, koji culture	Shared Cultures	US	chickpea	mixed koji/lactic acid/other		Rancho Gordo chickpeas, organic kokuho rose rice, wild foraged morel mushrooms, sea salt, water, koji culture	organic	Shared Cultures	mixed koji/lactic acid/other	plant-based food product	fermented legume product	miso	miso food product	fermented soybean food product	miso > miso food product > fermented soybean food product > plant food product	FOODON:00003208
FF0237	Cultured Sea Kraut	Vegetable - Cabbage	Sauerkraut	ready to eat	FF0237	yes	yes	2	2	organic green cabbage, organic gold beet, organic burdock, organic ginger, organic hijiki, organic arame, organic dulse, celtic sea salt	Cultured Pickle	US	cabbage	lactic acid		organic green cabbage, organic gold beet, organic burdock, organic ginger, organic hijiki, organic arame, organic dulse, celtic sea salt	organic	Cultured Pickle	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0238	Amazake	Grain	Amazake	ready to eat	FF0238	yes	yes	2	2	rice, koji	Cultured Pickle	US	rice	koji		organic rice, koji	organic	Cultured Pickle	koji	plant-based food product	fermented grain beverage	amazake	plant derived fermented beverage	fermented beverage	amazake > plant derived fermented beverage > fermented beverage > plant food product	unknown
FF0239	Jalapeno Kasuzuke (18Mo)	Vegetable/grain	Kasuzuke	ready to eat	FF0239	yes	yes	2	2	organic jalapeno, sake lees, salt	Cultured Pickle	US	chile	mixed koji/ethanolic/lactic acid/other		organic jalapeno, sake lees, salt	organic	Cultured Pickle	mixed koji/ethanolic/lactic acid/other	plant-based food product	fermented vegetable product	kasuzuke	food (fermented)	food material by process	kasuzuke > food (fermented) > food material by process > plant food product	unknown
FF0240	Kabocha Kasuzuke (5Yr)	Vegetable/grain	Kasuzuke	ready to eat	FF0240	no	yes	0	0	organic kabocha squash, sake lees, salt	Cultured Pickle	US	squash	mixed koji/ethanolic/lactic acid/other		organic kabocha squash, sake lees, salt	organic	Cultured Pickle	mixed koji/ethanolic/lactic acid/other	plant-based food product	fermented vegetable product	kasuzuke	food (fermented)	food material by process	kasuzuke > food (fermented) > food material by process > plant food product	unknown
